"","X","Title","Author","Subject","Abstract","Meta"
"1",1,"adaptive extraction network for multivariate long sequence time-series forecasting","dandan zhang, yun wang","machine learning (cs.lg)","models employing cnn architecture have made significant progress in multivariate long sequence time-series forecasting (mlstf), particularly in modeling local time series characteristics. however, during the mlstf process, extracting the global time series patterns and understanding the correlations among different variables are highly significant. to address this challenge, we introduce multi-resolution convolution and deformable convolution operations. by enlarging the receptive field using convolution kernels with different dilation factors to capture temporal correlation information across different resolutions, and adaptively adjusting the sampling positions through additional offset vectors, we enhance the network's ability to capture correlated features between variables. building upon this, we propose atvcnet, an adaptive temporal-variable convolutional network designed to effectively model the local/global temporal dependencies and inter-variable dependencies of multivariate time series. specifically, extracting and fusing time series features at different resolutions, captures both local contextual information and global patterns in the time series. the designed inter-variable feature adaptive extraction module captures the correlation among different variables in the time series. we evaluated the performance of atvcnet across eight real-world datasets. the results indicate that atvcnet achieved a performance improvement of approximately .% over state-of-the-art mlstf models.",2024-05-20
"2",2,"quantifying individual and joint module impact in modular optimization frameworks","ana nikolikj, ana kostovska, diederick vermetten, carola doerr, tome eftimov","neural and evolutionary computing (cs.ne)","this study explores the influence of modules on the performance of modular optimization frameworks for continuous single-objective black-box optimization. there is an extensive variety of modules to choose from when designing algorithm variants, however, there is a rather limited understanding of how each module individually influences the algorithm performance and how the modules interact with each other when combined. we use the functional anova (f-anova) framework to quantify the influence of individual modules and module combinations for two algorithms, the modular covariance matrix adaptation (modcma) and the modular differential evolution (modde). we analyze the performance data from  modcma and  modde variants on the bbob benchmark collection, for two problem dimensions, and three computational budgets. noteworthy findings include the identification of important modules that strongly influence the performance of modcma, such as the~\textit{weights\ option} and~\textit{mirrored} modules for low dimensional problems, and the~\textit{base\ sampler} for high dimensional problems. the large individual influence of the~\textit{lpsr} module makes it very important for the performance of modde, regardless of the problem dimensionality and the computational budget. when comparing modcma and modde, modde undergoes a shift from individual modules being more influential, to module combinations being more influential, while modcma follows the opposite pattern, with an increase in problem dimensionality and computational budget.",2024-05-20
"3",3,"depth prompting for sensor-agnostic depth estimation","jin-hwi park, chanhwi jeong, junoh lee, hae-gon jeon","computer vision and pattern recognition (cs.cv)","dense depth maps have been used as a key element of visual perception tasks. there have been tremendous efforts to enhance the depth quality, ranging from optimization-based to learning-based methods. despite the remarkable progress for a long time, their applicability in the real world is limited due to systematic measurement biases such as density, sensing pattern, and scan range. it is well-known that the biases make it difficult for these methods to achieve their generalization. we observe that learning a joint representation for input modalities (e.g., images and depth), which most recent methods adopt, is sensitive to the biases. in this work, we disentangle those modalities to mitigate the biases with prompt engineering. for this, we design a novel depth prompt module to allow the desirable feature representation according to new depth distributions from either sensor types or scene configurations. our depth prompt can be embedded into foundation models for monocular depth estimation. through this embedding process, our method helps the pretrained model to be free from restraint of depth scan range and to provide absolute scale depth maps. we demonstrate the effectiveness of our method through extensive evaluations. source code is publicly available at this https url .",2024-05-20
"4",4,"tinyllava factory: a modularized codebase for small-scale large multimodal models","junlong jia, ying hu, xi weng, yiming shi, miao li, xingjian zhang, baichuan zhou, ziyu liu, jie luo, lei huang, ji wu","machine learning (cs.lg)","we present tinyllava factory, an open-source modular codebase for small-scale large multimodal models (lmms) with a focus on simplicity of code implementations, extensibility of new features, and reproducibility of training results. following the design philosophy of the factory pattern in software engineering, tinyllava factory modularizes the entire system into interchangeable components, with each component integrating a suite of cutting-edge models and methods, meanwhile leaving room for extensions to more features. in addition to allowing users to customize their own lmms, tinyllava factory provides popular training recipes to let users pretrain and finetune their models with less coding effort. empirical experiments validate the effectiveness of our codebase. the goal of tinyllava factory is to assist researchers and practitioners in exploring the wide landscape of designing and training small-scale lmms with affordable computational resources.",2024-05-20
"5",5,"analyze additive and interaction effects via collaborative trees","chien-ming chi","methodology (stat.me)","we present collaborative trees, a novel tree model designed for regression prediction, along with its bagging version, which aims to analyze complex statistical associations between features and uncover potential patterns inherent in the data. we decompose the mean decrease in impurity from the proposed tree model to analyze the additive and interaction effects of features on the response variable. additionally, we introduce network diagrams to visually depict how each feature contributes additively to the response and how pairs of features contribute interaction effects. through a detailed demonstration using an embryo growth dataset, we illustrate how the new statistical tools aid data analysis, both visually and numerically. moreover, we delve into critical aspects of tree modeling, such as prediction performance, inference stability, and bias in feature importance measures, leveraging real datasets and simulation experiments for comprehensive discussions. on the theory side, we show that collaborative trees, built upon a ``sum of trees'' approach with our own innovative tree model regularization, exhibit characteristics akin to matching pursuit, under the assumption of high-dimensional independent binary input features (or one-hot feature groups). this newfound link sheds light on the superior capability of our tree model in estimating additive effects of features, a crucial factor for accurate interaction effect estimation.",2024-05-19
"6",6,"mediclip: adapting clip for few-shot medical image anomaly detection","ximiao zhang, min xu, dehui qiu, ruixin yan, ning lang, xiuzhuang zhou","computer vision and pattern recognition (cs.cv)","in the field of medical decision-making, precise anomaly detection in medical imaging plays a pivotal role in aiding clinicians. however, previous work is reliant on large-scale datasets for training anomaly detection models, which increases the development cost. this paper first focuses on the task of medical image anomaly detection in the few-shot setting, which is critically significant for the medical field where data collection and annotation are both very expensive. we propose an innovative approach, mediclip, which adapts the clip model to few-shot medical image anomaly detection through self-supervised fine-tuning. although clip, as a vision-language model, demonstrates outstanding zero-/fewshot performance on various downstream tasks, it still falls short in the anomaly detection of medical images. to address this, we design a series of medical image anomaly synthesis tasks to simulate common disease patterns in medical imaging, transferring the powerful generalization capabilities of clip to the task of medical image anomaly detection. when only few-shot normal medical images are provided, mediclip achieves state-of-the-art performance in anomaly detection and location compared to other methods. extensive experiments on three distinct medical anomaly detection tasks have demonstrated the superiority of our approach. the code is available at this https url.",2024-05-18
"7",7,"simad: a simple dissimilarity-based approach for time series anomaly detection","zhijie zhong, zhiwen yu, xing xi, yue xu, jiahui chen, kaixiang yang","machine learning (cs.lg)","despite the prevalence of reconstruction-based deep learning methods, time series anomaly detection remains challenging. existing approaches often struggle with limited temporal contexts, inadequate representation of normal patterns, and flawed evaluation metrics, hindering their effectiveness in identifying aberrant behavior. to address these issues, we introduce $\textbf{simad}$, a $\textbf{sim}$ple dissimilarity-based approach for time series $\textbf{a}$nomaly $\textbf{d}$etection. simad incorporates an advanced feature extractor adept at processing extended temporal windows, utilizes the embedpatch encoder to integrate normal behavioral patterns comprehensively, and introduces an innovative contrastfusion module designed to accentuate distributional divergences between normal and abnormal data, thereby enhancing the robustness of anomaly discrimination. additionally, we propose two robust evaluation metrics, uaff and naff, addressing the limitations of existing metrics and demonstrating their reliability through theoretical and experimental analyses. experiments across $\textbf{seven}$ diverse time series datasets demonstrate simad's superior performance compared to state-of-the-art methods, achieving relative improvements of $\textbf{.%}$ on f, $\textbf{.%}$ on aff-f, $\textbf{.%}$ on naff-f, and $\textbf{.%}$ on auc on six multivariate datasets. code and pre-trained models are available at this https url.",2024-05-18
"8",8,"simulation and design of isostatic thick origami structures","andrea micheletti, alessandro tiero, giuseppe tomassetti","soft condensed matter (cond-mat.soft)","thick origami structures are considered here as assemblies of polygonal panels hinged to each other along their edges according to a corresponding origami crease pattern. the determination of the internal actions caused by external loads in such structures is not an easy task, owing to their high degree of static indeterminacy, and the likelihood of unwanted self-balanced internal actions induced by manufacturing imperfections. here we present a method for reducing the degree of static indeterminacy which can be applied to several thick origami structures to make them isostatic. the method utilizes sliding hinges, which permit also the relative translation along the hinge axis, to replace conventional hinges. after giving the analytical description of both types of hinges and describing a rigid folding simulation procedure based on the integration of the exponential map, we present the static analysis of a series of noteworthy examples based on the miura-ori pattern, the yoshimura pattern, and the kresling pattern. the method can be applied for the design and realization of thick origami structures with adequate strength to resist external actions.",2024-04-28
"9",9,"vqdna: unleashing the power of vector quantization for multi-species genomic sequence modeling","siyuan li, zedong wang, zicheng liu, di wu, cheng tan, jiangbin zheng, yufei huang, stan z. li","genomics (q-bio.gn)","similar to natural language models, pre-trained genome language models are proposed to capture the underlying intricacies within genomes with unsupervised sequence modeling. they have become essential tools for researchers and practitioners in biology. however, the \textit{hand-crafted} tokenization policies used in these models may not encode the most discriminative patterns from the limited vocabulary of genomic data. in this paper, we introduce vqdna, a general-purpose framework that renovates genome tokenization from the perspective of genome vocabulary learning. by leveraging vector-quantized codebook as \textit{learnable} vocabulary, vqdna can adaptively tokenize genomes into \textit{pattern-aware} embeddings in an end-to-end manner. to further push its limits, we propose hierarchical residual quantization (hrq), where varying scales of codebooks are designed in a hierarchy to enrich the genome vocabulary in a coarse-to-fine manner. extensive experiments on  genome datasets demonstrate vqdna's superiority and favorable parameter efficiency compared to existing genome language models. notably, empirical analysis of sars-cov- mutations reveals the fine-grained pattern awareness and biological significance of learned hrq vocabulary, highlighting its untapped potential for broader applications in genomics.",2024-05-13
"10",10,"chatgpt in classrooms: transforming challenges into opportunities in education","harris bin munawar, nikolaos misirlis","computers and society (cs.cy)","in the era of exponential technology growth, one unexpected guest has claimed a seat in classrooms worldwide, artificial intelligence. generative ai, such as chatgpt, promises a revolution in education, yet it arrives with a double-edged sword. its potential for personalized learning is offset by issues of cheating, inaccuracies, and educators struggling to incorporate it effectively into their lesson design. we are standing on the brink of this educational frontier, and it is clear that we need to navigate this terrain with a lot of care. this is a major challenge that could undermine the integrity and value of our educational process. so, how can we turn these challenges into opportunities? when used inappropriately, ai tools can become the perfect tool for the cut copy paste mentality, and quickly begin to corrode critical thinking, creativity, and deep understanding, the most important skills in our rapidly changing world. teachers feel that they are not equipped to leverage this technology, widening the digital divide among educators and institutions. addressing these concerns calls for an in depth research approach. we will employ empirical research, drawing on the technology acceptance model, to assess the attitudes toward generative ai among educators and students. understanding their perceptions, usage patterns, and hurdles is the first crucial step in creating an effective solution. the present study will be used as a process manual for future researchers to apply, running their own data, based on the steps explained here",2024-05-17
